Country or territory name,ISO 2-character country/territory code,ISO 3-character country/territory code,ISO numeric country/territory code,Region,Year,Estimated total population number,Estimated prevalence of TB (all forms) per 100 000 population,"Estimated prevalence of TB (all forms) per 100 000 population, low bound","Estimated prevalence of TB (all forms) per 100 000 population, high bound",Estimated prevalence of TB (all forms),"Estimated prevalence of TB (all forms), low bound","Estimated prevalence of TB (all forms), high bound",Method to derive prevalence estimates,"Estimated mortality of TB cases (all forms, excluding HIV) per 100 000 population","Estimated mortality of TB cases (all forms, excluding HIV), per 100 000 population, low bound","Estimated mortality of TB cases (all forms, excluding HIV), per 100 000 population, high bound","Estimated number of deaths from TB (all forms, excluding HIV)","Estimated number of deaths from TB (all forms, excluding HIV), low bound","Estimated number of deaths from TB (all forms, excluding HIV), high bound","Estimated mortality of TB cases who are HIV-positive, per 100 000 population","Estimated mortality of TB cases who are HIV-positive, per 100 000 population, low bound","Estimated mortality of TB cases who are HIV-positive, per 100 000 population, high bound",Estimated number of deaths from TB in people who are HIV-positive,"Estimated number of deaths from TB in people who are HIV-positive, low bound","Estimated number of deaths from TB in people who are HIV-positive, high bound",Method to derive mortality estimates,Estimated incidence (all forms) per 100 000 population,"Estimated incidence (all forms) per 100 000 population, low bound","Estimated incidence (all forms) per 100 000 population, high bound",Estimated number of incident cases (all forms),"Estimated number of incident cases (all forms), low bound","Estimated number of incident cases (all forms), high bound",Method to derive incidence estimates,Estimated HIV in incident TB (percent),"Estimated HIV in incident TB (percent), low bound","Estimated HIV in incident TB (percent), high bound",Estimated incidence of TB cases who are HIV-positive per 100 000 population,"Estimated incidence of TB cases who are HIV-positive per 100 000 population, low bound","Estimated incidence of TB cases who are HIV-positive per 100 000 population, high bound",Estimated incidence of TB cases who are HIV-positive,"Estimated incidence of TB cases who are HIV-positive, low bound","Estimated incidence of TB cases who are HIV-positive, high bound",Method to derive TBHIV estimates,"Case detection rate (all forms), percent","Case detection rate (all forms), percent, low bound","Case detection rate (all forms), percent, high bound"
Afghanistan,AF,AFG,4,EMR,1990,11731193,306,156,506,36000,18000,59000,predicted,37,24,54,4300,2800,6400,0.04,0.03,0.05,5,4.1,6,Indirect,189,157,238,22000,18000,28000,,0.06,0.04,0.08,0.11,0.08,0.14,12,9.4,16,,20,15,24
Afghanistan,AF,AFG,4,EMR,1991,12612043,343,178,562,43000,22000,71000,predicted,46,29,61,5800,3700,7700,0.06,0.05,0.08,8,6.2,10,Indirect,191,167,227,24000,21000,29000,,0.07,0.06,0.09,0.13,0.11,0.16,17,14,20,,96,80,110
Afghanistan,AF,AFG,4,EMR,1992,13811876,371,189,614,51000,26000,85000,predicted,54,34,68,7400,4700,9400,0.08,0.06,0.1,11,8.3,14,Indirect,191,171,217,26000,24000,30000,,0.08,0.07,0.1,0.16,0.14,0.18,22,19,24,,,,
Afghanistan,AF,AFG,4,EMR,1993,15175325,392,194,657,59000,30000,100000,predicted,60,38,73,9100,5800,11000,0.11,0.09,0.14,17,13,21,Indirect,189,171,209,29000,26000,32000,,0.1,0.09,0.11,0.19,0.17,0.21,28,25,31,,,,
Afghanistan,AF,AFG,4,EMR,1994,16485018,410,198,697,68000,33000,110000,predicted,65,41,79,11000,6800,13000,0.13,0.11,0.16,22,17,27,Indirect,188,169,208,31000,28000,34000,,0.11,0.1,0.13,0.21,0.18,0.24,35,30,39,,,,
Afghanistan,AF,AFG,4,EMR,1995,17586073,424,199,733,75000,35000,130000,predicted,69,45,82,12000,7800,14000,0.15,0.12,0.19,27,21,34,Indirect,188,166,209,33000,29000,37000,,0.12,0.1,0.15,0.23,0.21,0.27,41,37,47,,,,
Afghanistan,AF,AFG,4,EMR,1996,18415307,438,202,764,81000,37000,140000,predicted,71,48,85,13000,8900,16000,0.17,0.14,0.21,32,26,39,Indirect,188,169,206,35000,31000,38000,,0.14,0.12,0.16,0.25,0.23,0.28,47,42,52,,,,
Afghanistan,AF,AFG,4,EMR,1997,19021226,448,203,788,85000,39000,150000,predicted,72,51,85,14000,9700,16000,0.19,0.16,0.23,37,31,44,Indirect,189,172,205,36000,33000,39000,,0.15,0.13,0.17,0.28,0.26,0.3,53,49,58,,3.6,3.3,4
Afghanistan,AF,AFG,4,EMR,1998,19496836,454,204,800,88000,40000,160000,predicted,72,51,85,14000,10000,17000,0.21,0.18,0.24,41,35,48,Indirect,189,174,202,37000,34000,39000,,0.16,0.14,0.18,0.3,0.27,0.32,59,54,63,,8.3,7.8,9.1
Afghanistan,AF,AFG,4,EMR,1999,19987071,446,203,782,89000,41000,160000,predicted,71,50,84,14000,10000,17000,0.22,0.19,0.26,44,37,51,Indirect,190,175,206,38000,35000,41000,,0.17,0.15,0.19,0.32,0.29,0.35,64,59,70,,8.7,8.1,9.5
